Time,SN,SITE,Config,VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),LED_Channel,LED_DV,NTC,NTC,State
2024-7-4 15:57,'1,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.44,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 15:57,'1,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.44,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:24,'1111,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.44,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:25,'1111,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.30,1.0,-22.44,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:25,'1111,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:25,'1111,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:25,'1111,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.33,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:25,'1111,1,config.ini,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.33,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:41,'2,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.35,1.0,-22.50,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-7-4 16:41,'2,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.35,1.0,-22.50,2.0,0,0.00,21000L,18000L,未检测到背光异常
